Iteration	Posterior	Likelihood	Prior	branch_lengths[1]	branch_lengths[2]	branch_lengths[3]	branch_lengths[4]	branch_lengths[5]	branch_lengths[6]	branch_lengths[7]	branch_lengths[8]	branch_lengths[9]	branch_lengths[10]	branch_lengths[11]	branch_lengths[12]	branch_lengths[13]	branch_lengths[14]	branch_lengths[15]	branch_lengths[16]	branch_lengths[17]	branch_lengths[18]	branch_lengths[19]	branch_lengths[20]	branch_lengths[21]	branch_lengths[22]	branch_lengths[23]	branch_lengths[24]	branch_lengths[25]	branch_lengths[26]	branch_lengths[27]	branch_lengths[28]	branch_lengths[29]	branch_lengths[30]	branch_lengths[31]	branch_lengths[32]	branch_lengths[33]	branch_lengths[34]	branch_lengths[35]	branch_lengths[36]	branch_lengths[37]	branch_lengths[38]	branch_lengths[39]	branch_lengths[40]	branch_lengths[41]	branch_lengths[42]	branch_lengths[43]	branch_lengths[44]	branch_lengths[45]	branch_lengths[46]	branch_lengths[47]	branch_lengths[48]	branch_lengths[49]	branch_lengths[50]	branch_lengths[51]	branch_lengths[52]	branch_lengths[53]	branch_lengths[54]	branch_lengths[55]	branch_lengths[56]	branch_lengths[57]	branch_lengths[58]	branch_lengths[59]	branch_lengths[60]	branch_lengths[61]	branch_lengths[62]	branch_lengths[63]	branch_lengths[64]	branch_lengths[65]	branch_lengths[66]	branch_lengths[67]	branch_lengths[68]	branch_lengths[69]	branch_lengths[70]	branch_lengths[71]	branch_lengths[72]	branch_lengths[73]	branch_lengths[74]	branch_lengths[75]	branch_lengths[76]	branch_lengths[77]	branch_lengths[78]	branch_lengths[79]	branch_lengths[80]	branch_lengths[81]	branch_lengths[82]	branch_lengths[83]	branch_lengths[84]	branch_lengths[85]	branch_lengths[86]	branch_lengths[87]	branch_lengths[88]	branch_lengths[89]	branch_lengths[90]	branch_lengths[91]	branch_lengths[92]	branch_lengths[93]	branch_lengths[94]	branch_lengths[95]	branch_lengths[96]	branch_lengths[97]	branch_lengths[98]	branch_lengths[99]	branch_lengths[100]	branch_lengths[101]	branch_lengths[102]	branch_lengths[103]	branch_lengths[104]	branch_lengths[105]
0	-59815	-59802.27	-12.73098	0.0855974	0.111109	0.72232	0.0267857	0.0686202	0.105356	0.0874798	0.0460666	0.33846	0.439974	0.262128	0.0890727	0.194352	0.0689823	0.0206064	0.00501747	0.0920009	0.0066207	0.0494781	0.0999811	0.0226991	0.00172165	0.220123	0.118481	0.057028	0.0511896	0.309011	0.0250353	0.303383	0.00674341	0.0248113	0.024047	0.0974922	0.0881743	0.0291141	0.257501	0.0325615	0.230013	0.163235	0.0294078	0.0879772	0.10954	0.0523021	0.00189253	0.108653	0.0194515	0.0910266	0.044366	0.226017	0.00785884	0.0417816	0.120961	0.0104161	0.0341037	0.133482	0.0266475	0.0188896	0.0356007	0.0350105	0.0161177	0.132132	0.0342158	0.0540095	0.045425	0.0344817	0.00426225	0.0610503	0.0858394	0.0430321	0.00349258	0.0361675	0.00442848	0.0549876	0.0225531	0.207686	0.11094	0.00309948	0.103642	0.0499323	0.121328	0.080647	0.127119	0.0906308	0.152725	0.0436116	0.0829064	0.0505623	0.0611814	0.0288259	0.0181514	0.0477842	0.0663708	0.0488542	0.0476389	0.324348	0.080239	0.0248718	0.0935618	0.0325926	0.0786469	0.140159	0.0284949	0.013559	0.146191	0.203753
1	-47803.33	-47810.28	6.953032	0.0855974	0.0724734	0.533372	0.0267857	0.0686202	0.101133	0.0769683	0.0302774	0.33846	0.214226	0.120319	0.0540089	0.194352	0.0434976	0.0206064	0.00614036	0.0758359	0.0128917	0.0330984	0.0834147	0.0226991	0.00172165	0.107559	0.118481	0.0264663	0.0501577	0.2323	0.0157009	0.233178	0.0124398	0.0165079	0.0125823	0.0816	0.0695273	0.0291141	0.257501	0.0199009	0.177142	0.163235	0.0294078	0.0879772	0.10954	0.0523021	0.00227326	0.108653	0.0196227	0.0892171	0.0411386	0.226017	0.00842681	0.0417816	0.120961	0.0174008	0.0446854	0.133482	0.0128404	0.0188896	0.0162364	0.0248142	0.0161177	0.0888857	0.0286677	0.0540095	0.0248171	0.0158369	0.00393948	0.0311962	0.035092	0.0430321	0.00141138	0.0170405	0.00763096	0.0407533	0.0207305	0.201487	0.0691413	0.00309948	0.0891389	0.0437394	0.077278	0.07896	0.0979024	0.0791338	0.0982276	0.0205731	0.0370833	0.0468546	0.0611814	0.0288259	0.0164267	0.0441568	0.0663708	0.017707	0.0476389	0.205884	0.080239	0.0248718	0.0935618	0.0144602	0.0493462	0.0959914	0.0284949	0.00954796	0.146191	0.143368
2	-41960.08	-41983.46	23.38046	0.0465766	0.0724734	0.326522	0.0294286	0.0221848	0.0849443	0.0337878	0.01893	0.211463	0.158094	0.0450409	0.0391285	0.1739	0.0434976	0.0131405	0.00614036	0.0644199	0.0174409	0.0212121	0.0834147	0.0226991	0.00279349	0.0483979	0.0763329	0.01612	0.0312132	0.161417	0.011465	0.146879	0.0124398	0.00712291	0.0125823	0.0816	0.0425772	0.0291141	0.168992	0.0153957	0.126843	0.163235	0.0178882	0.0879772	0.10954	0.0444221	0.00335843	0.108653	0.0196227	0.0892171	0.0411386	0.212621	0.00749584	0.0472662	0.120961	0.0150108	0.0335374	0.133482	0.00881614	0.0188896	0.0104686	0.0248142	0.0161177	0.0782955	0.0189486	0.0540095	0.022164	0.00814647	0.00576385	0.0311962	0.035092	0.0386305	0.00234154	0.00677248	0.00986208	0.0248014	0.0144891	0.190046	0.0691413	0.00374949	0.0688793	0.0437394	0.077278	0.0494544	0.0498079	0.0611664	0.0450689	0.0163641	0.0370833	0.037085	0.0611814	0.0288259	0.0164267	0.0230739	0.0590309	0.017707	0.0368348	0.13949	0.0346683	0.0184934	0.083846	0.00949995	0.0458645	0.0959914	0.0191604	0.00954796	0.146218	0.143368
3	-37154.98	-37189.51	34.53223	0.0465766	0.0647117	0.326522	0.0210558	0.0107902	0.0551322	0.0191477	0.01893	0.173076	0.158094	0.0450409	0.0391285	0.1739	0.0379111	0.0131405	0.015145	0.0644199	0.0174409	0.0198888	0.0522393	0.0368182	0.00530371	0.0265567	0.0524349	0.018601	0.0276502	0.161417	0.011465	0.0608257	0.0101796	0.00510965	0.0108933	0.0816	0.022834	0.0229021	0.168992	0.0153957	0.124481	0.1154	0.0178882	0.0511877	0.0580389	0.0444221	0.00409848	0.0764395	0.0196227	0.0564154	0.0411386	0.0733312	0.00425842	0.0472662	0.120961	0.0168408	0.0335374	0.0641184	0.00881614	0.0140601	0.00890772	0.0117135	0.0109535	0.0782955	0.00904609	0.0540095	0.022164	0.00345646	0.00576385	0.0195148	0.035092	0.0297265	0.00275167	0.00677248	0.00986208	0.0277906	0.0144891	0.120182	0.024695	0.00246837	0.0688793	0.0437394	0.0454787	0.0494544	0.0490946	0.0160573	0.0450689	0.0127087	0.0370833	0.0322721	0.0611814	0.0105199	0.0141662	0.0166668	0.0590309	0.0107399	0.0186876	0.13949	0.0275879	0.0184934	0.083846	0.00949995	0.0316997	0.0959914	0.00796826	0.00520623	0.145351	0.0764739
4	-34423.13	-34465.7	42.56106	0.0319164	0.052676	0.323398	0.0207628	0.00830777	0.0551322	0.0163037	0.0116833	0.173076	0.141621	0.0450409	0.0391285	0.124205	0.0379111	0.0204274	0.0199908	0.0431007	0.0147768	0.0221735	0.0536308	0.0368182	0.00507161	0.0247801	0.0524349	0.0155221	0.0276502	0.11706	0.00728964	0.0397971	0.0101796	0.00359727	0.00677127	0.0816	0.0165804	0.0229021	0.106266	0.0153957	0.124481	0.1154	0.0178882	0.0501991	0.0580389	0.0309031	0.00880301	0.0764395	0.0196227	0.0345037	0.0411386	0.0717264	0.00425842	0.0472662	0.0518822	0.0140776	0.0335374	0.0371144	0.0061794	0.00938697	0.00531134	0.00680229	0.0109535	0.0682685	0.00904609	0.0540095	0.022164	0.00230727	0.00392826	0.0289092	0.0211032	0.0251845	0.00183212	0.00450988	0.00626062	0.0288984	0.0112034	0.0731367	0.0230554	0.00246837	0.0688793	0.0302277	0.022221	0.0687643	0.0197695	0.0174659	0.0450689	0.0109595	0.0195434	0.0322721	0.0275922	0.00416112	0.011342	0.0100141	0.0461873	0.00887825	0.0146757	0.13949	0.0275879	0.0194949	0.0520945	0.00848359	0.0296094	0.0912734	0.00365613	0.00512423	0.0360597	0.0527284
5	-31376.13	-31424.93	48.79123	0.0209165	0.052676	0.227996	0.0311071	0.00516735	0.042393	0.0163037	0.00820452	0.146056	0.141621	0.0729193	0.0391285	0.0403265	0.0379111	0.0204274	0.0218888	0.0431007	0.00704651	0.0148955	0.0536308	0.0238293	0.00536108	0.0247801	0.0392853	0.0230171	0.0276502	0.11706	0.00728964	0.0397971	0.0101796	0.00359727	0.00677127	0.0502432	0.0156373	0.0111687	0.046499	0.0117475	0.124481	0.103139	0.0178882	0.0501991	0.0429529	0.0223925	0.0105093	0.0764395	0.0233164	0.0287429	0.0241645	0.0707786	0.00460498	0.0472662	0.0453631	0.0221723	0.0342004	0.0371144	0.00390688	0.00938697	0.0034229	0.00706301	0.00440544	0.0477692	0.00904609	0.0240272	0.0155518	0.002229	0.00241078	0.026519	0.0171855	0.0251845	0.00155743	0.00450988	0.00626062	0.0288984	0.0112034	0.060701	0.0230554	0.00155541	0.0688793	0.0231267	0.00699653	0.0687643	0.0179179	0.0126273	0.0286988	0.0109595	0.0195434	0.0322721	0.0172044	0.0036689	0.00708495	0.00756957	0.0461873	0.00789151	0.00786189	0.0965571	0.0275879	0.0306138	0.0273829	0.00848359	0.0296094	0.0912734	0.00194848	0.00499105	0.0264065	0.0464722
6	-29616.94	-29671.24	54.29511	0.0154098	0.052676	0.227996	0.0311071	0.00206259	0.0270056	0.0113347	0.0094743	0.0732864	0.0796351	0.0664977	0.0309165	0.0189551	0.0379111	0.0178466	0.0218888	0.0431007	0.00438335	0.0162389	0.0387681	0.0256666	0.00628853	0.028332	0.0354709	0.0165568	0.02144	0.11706	0.00233535	0.0397971	0.0108917	0.00321254	0.00677127	0.0287192	0.0156373	0.0111687	0.0485694	0.00987468	0.115123	0.07093	0.0116689	0.0501991	0.0337633	0.0223925	0.0101079	0.0469084	0.0322577	0.0408152	0.0241645	0.0517788	0.00460498	0.0592659	0.0453631	0.0303513	0.0323612	0.0371144	0.00390688	0.0110602	0.00115841	0.00512777	0.00440544	0.0474012	0.00597524	0.0240272	0.015407	0.00236893	0.00334186	0.026519	0.0171855	0.0138616	0.00128287	0.00495599	0.00626062	0.0242676	0.0101299	0.0324742	0.0202628	0.00111279	0.0688793	0.0231267	0.00559585	0.0478246	0.0179179	0.0108061	0.0105649	0.0109595	0.0105098	0.0304315	0.0172044	0.00308127	0.00575717	0.00490284	0.0461873	0.00571593	0.00564998	0.0606267	0.0275879	0.0318785	0.0251756	0.004598	0.0150338	0.0500876	0.00138297	0.00499105	0.0264065	0.0285617
7	-27919.27	-27977.75	58.47764	0.0133508	0.0378618	0.148217	0.0384399	0.00206259	0.0286501	0.0113347	0.00882433	0.0515133	0.0682245	0.0596306	0.0248673	0.0119881	0.0379111	0.0178466	0.0218888	0.0270064	0.00276023	0.00965284	0.0293599	0.0253543	0.00628853	0.028332	0.0322343	0.0237491	0.02144	0.0903654	0.00138423	0.0277901	0.0103477	0.00407602	0.00868776	0.0305501	0.0156373	0.0113306	0.0485694	0.0100628	0.115123	0.07093	0.0116689	0.0397399	0.0337633	0.025174	0.00899199	0.0245862	0.0236022	0.0252007	0.0241645	0.0312599	0.00479475	0.0592659	0.0306913	0.0261784	0.0323612	0.0371144	0.00346319	0.0110602	0.00098992	0.00512777	0.00440544	0.0325061	0.00597524	0.0179705	0.00816707	0.0019089	0.00194097	0.026519	0.0171855	0.0132299	0.000750213	0.00315182	0.00626062	0.0242676	0.00630834	0.0324742	0.0118386	0.000746403	0.0460814	0.0214655	0.00295525	0.0478246	0.0151446	0.0108061	0.0050094	0.00842868	0.0105098	0.0205102	0.0284632	0.00207033	0.00392757	0.00451741	0.0461873	0.00665108	0.00337279	0.0606267	0.0194531	0.0342491	0.0251756	0.00521694	0.0150338	0.0471967	0.000887602	0.00264306	0.0119105	0.0243761
8	-25847.85	-25910.47	62.62374	0.0133508	0.0378618	0.0468263	0.0342885	0.00150859	0.0286501	0.0113347	0.00583479	0.0515133	0.0578572	0.0588636	0.00926847	0.0119881	0.0379111	0.0209594	0.0224811	0.016875	0.00193609	0.00965284	0.0284709	0.0253543	0.00628853	0.028332	0.0179007	0.0130737	0.0188294	0.0903654	0.00138423	0.0132983	0.00968253	0.00407602	0.00914773	0.0133675	0.0156373	0.00886779	0.0568447	0.00630811	0.0705305	0.0513204	0.00837428	0.0397399	0.0337633	0.0171165	0.00822919	0.0245862	0.0244385	0.0128354	0.0135906	0.0312599	0.00399668	0.0508209	0.0306913	0.0283233	0.0253407	0.0326377	0.00232472	0.00976855	0.00134537	0.00512777	0.00457135	0.0182872	0.00372381	0.0120919	0.00816707	0.0019089	0.00142464	0.0179371	0.0171855	0.0132299	0.000930436	0.00204553	0.0045684	0.0242676	0.00453112	0.0278068	0.0118386	0.000746403	0.023397	0.0217024	0.00267781	0.0478246	0.0151446	0.00841934	0.0050094	0.0025054	0.00884339	0.0205102	0.0359004	0.00182218	0.00201562	0.00373397	0.0461873	0.00511078	0.00333109	0.0606267	0.0119477	0.0404607	0.0193502	0.00649328	0.0077482	0.0471967	0.000551536	0.00235913	0.00983919	0.0162087
9	-24980.41	-25045.61	65.19169	0.0095384	0.0378618	0.0219204	0.0342885	0.00209212	0.0068717	0.0129404	0.00884815	0.0515133	0.0578572	0.0588636	0.00540725	0.0119881	0.0379111	0.0209594	0.0220207	0.016875	0.00238364	0.00950778	0.0121422	0.0207179	0.00628853	0.028332	0.0101027	0.0130737	0.0153194	0.0901238	0.000866148	0.015579	0.00968253	0.00694279	0.00862402	0.00845823	0.0156373	0.00922465	0.0543289	0.00720334	0.0705305	0.0513204	0.00602822	0.0394288	0.0333749	0.0152945	0.00700526	0.0185081	0.0244385	0.0152275	0.0189614	0.0278735	0.0051006	0.024115	0.0222757	0.0207405	0.0146903	0.0326377	0.00160758	0.00976855	0.00134537	0.00339384	0.00471345	0.0145446	0.00227863	0.0120919	0.00678236	0.00162329	0.0011911	0.0182299	0.0171855	0.00990178	0.000930436	0.00131289	0.0045684	0.0242676	0.00207686	0.0272167	0.0100414	0.000746403	0.023397	0.0155167	0.00275406	0.0221353	0.0151446	0.0066611	0.00159237	0.00176571	0.00541814	0.0120619	0.0390556	0.00182218	0.000489316	0.00373397	0.039025	0.00511078	0.00220508	0.0587299	0.00847176	0.0350295	0.0139078	0.00649328	0.00559996	0.0342821	0.000268788	0.00165475	0.00544314	0.0143022
