	GAP_alloPPnet_version_reduced.nex	total_ungaped_sequence_length	total_longest_ungaped_length	total_ungaped_sequence_percent	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	964	964	1016	94.9%	52	5.1%	
A_tai_6137_A                                                                                        	974	974	1016	95.9%	42	4.1%	
A_tai_6137_B                                                                                        	974	974	1016	95.9%	42	4.1%	
A_tenA_4831_A                                                                                       	961	961	1016	94.6%	55	5.4%	
A_tenB_8704_A                                                                                       	964	964	1016	94.9%	52	5.1%	
A_tenB_8704_B                                                                                       	977	977	1016	96.2%	39	3.8%	
A_tenC_8745_A                                                                                       	961	961	1016	94.6%	55	5.4%	
A_tenC_8745_B                                                                                       	974	974	1016	95.9%	42	4.1%	
C_dia_6380_A                                                                                        	971	971	1016	95.6%	45	4.4%	
C_dia_6380_B                                                                                        	972	972	1016	95.7%	44	4.3%	
C_fraA_7009_A                                                                                       	940	940	1016	92.5%	76	7.5%	
C_fraB_7248_A                                                                                       	960	960	1016	94.5%	56	5.5%	
C_fraB_7248_B                                                                                       	940	940	1016	92.5%	76	7.5%	
C_mem_6732_A                                                                                        	970	970	1016	95.5%	46	4.5%	
C_mon_7943_A                                                                                        	998	998	1016	98.2%	18	1.8%	
C_mon_7943_B                                                                                        	998	998	1016	98.2%	18	1.8%	
C_mouA_4861_A                                                                                       	996	996	1016	98.0%	20	2.0%	
C_pelA_6055_A                                                                                       	994	994	1016	97.8%	22	2.2%	
C_pelA_6055_B                                                                                       	994	994	1016	97.8%	22	2.2%	
C_pro_6359_A                                                                                        	957	957	1016	94.2%	59	5.8%	
C_pro_6359a_A                                                                                       	957	957	1016	94.2%	59	5.8%	
C_sudB_8674_A                                                                                       	994	994	1016	97.8%	22	2.2%	
C_sudB_8674_B                                                                                       	986	986	1016	97.0%	30	3.0%	
C_tas_6379_A                                                                                        	961	961	1016	94.6%	55	5.4%	
C_tas_6379_B                                                                                        	962	962	1016	94.7%	54	5.3%	
C_tenu_6387_A                                                                                       	940	940	1016	92.5%	76	7.5%	
C_tenu_6387_B                                                                                       	957	957	1016	94.2%	59	5.8%	
C_uta_6848_A                                                                                        	970	970	1016	95.5%	46	4.5%	
C_uta_6848_B                                                                                        	986	986	1016	97.0%	30	3.0%	
G_app_7800_A                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_con_6979_A                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_con_6979_B                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_dis_7751_A                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_dis_7751a_A                                                                                       	1015	1015	1016	99.9%	1	0.1%	
G_dry_7981_A                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_dry_7981_B                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_dry_7981a_A                                                                                       	1015	1015	1016	99.9%	1	0.1%	
G_oyaA_6399_A                                                                                       	1005	1005	1016	98.9%	11	1.1%	
G_oyaC_8739_A                                                                                       	1016	1016	1016	100.0%	0	0.0%	
G_oyaC_8739_B                                                                                       	1016	1016	1016	100.0%	0	0.0%	
G_rem_4862_A                                                                                        	1016	1016	1016	100.0%	0	0.0%	
G_rem_4862_B                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_rob_7945_A                                                                                        	1015	1015	1016	99.9%	1	0.1%	
G_rob_7945_B                                                                                        	1014	1014	1016	99.8%	2	0.2%	
xCystC_7974_A                                                                                       	960	960	1016	94.5%	56	5.5%	
xCystC_7974_B                                                                                       	940	940	1016	92.5%	76	7.5%	
xCystG_7974_A                                                                                       	1015	1015	1016	99.9%	1	0.1%	
xCystG_7974_B                                                                                       	1015	1015	1016	99.9%	1	0.1%	
logngest-ungaped-sequence	1016	1016
alignment-length	1068	1068
