	APP_alloPPnet_version_reduced.nex	GAP_alloPPnet_version_reduced.nex	IBR_alloPPnet_version_reduced.nex	PGI_alloPPnet_version_reduced.nex	total_ungaped_sequence_length	total_longest_ungaped_length	total_ungaped_sequence_percent	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	946	964	831	938	3679	3860	95.3%	181	4.7%	
A_tai_6137_A                                                                                        	946	974	828	938	3686	3860	95.5%	174	4.5%	
A_tai_6137_B                                                                                        	947	974	831	938	3690	3860	95.6%	170	4.4%	
A_tenA_4831_A                                                                                       	899	961	819	941	3620	3860	93.8%	240	6.2%	
A_tenB_8704_A                                                                                       	0	964	830	938	2732	3860	70.8%	1128	29.2%	
A_tenB_8704_B                                                                                       	0	977	819	0	1796	3860	46.5%	2064	53.5%	
A_tenC_8745_A                                                                                       	942	961	829	941	3673	3860	95.2%	187	4.8%	
A_tenC_8745_B                                                                                       	947	974	830	938	3689	3860	95.6%	171	4.4%	
C_bul_7650_A                                                                                        	949	0	827	998	2774	3860	71.9%	1086	28.1%	
C_bul_7650a_A                                                                                       	0	0	831	1003	1834	3860	47.5%	2026	52.5%	
C_dia_6380_A                                                                                        	0	971	0	945	1916	3860	49.6%	1944	50.4%	
C_dia_6380_B                                                                                        	0	972	0	935	1907	3860	49.4%	1953	50.6%	
C_fraA_7009_A                                                                                       	921	940	828	935	3624	3860	93.9%	236	6.1%	
C_fraA_7009_B                                                                                       	947	0	829	968	2744	3860	71.1%	1116	28.9%	
C_fraB_7248_A                                                                                       	921	960	829	902	3612	3860	93.6%	248	6.4%	
C_fraB_7248_B                                                                                       	945	940	830	967	3682	3860	95.4%	178	4.6%	
C_mem_6732_A                                                                                        	946	970	825	960	3701	3860	95.9%	159	4.1%	
C_mon_7943_A                                                                                        	946	998	816	947	3707	3860	96.0%	153	4.0%	
C_mon_7943_B                                                                                        	900	998	816	948	3662	3860	94.9%	198	5.1%	
C_mouA_4861_A                                                                                       	947	996	828	1027	3798	3860	98.4%	62	1.6%	
C_pelA_6055_A                                                                                       	979	994	830	1027	3830	3860	99.2%	30	0.8%	
C_pelA_6055_B                                                                                       	979	994	829	1026	3828	3860	99.2%	32	0.8%	
C_pro_6359_A                                                                                        	938	957	835	966	3696	3860	95.8%	164	4.2%	
C_pro_6359a_A                                                                                       	937	957	0	0	1894	3860	49.1%	1966	50.9%	
C_sudB_8674_A                                                                                       	948	994	829	1027	3798	3860	98.4%	62	1.6%	
C_sudB_8674_B                                                                                       	946	986	829	1028	3789	3860	98.2%	71	1.8%	
C_tas_6379_A                                                                                        	944	961	827	943	3675	3860	95.2%	185	4.8%	
C_tas_6379_B                                                                                        	847	962	0	836	2645	3860	68.5%	1215	31.5%	
C_tenu_6387_A                                                                                       	947	940	829	966	3682	3860	95.4%	178	4.6%	
C_tenu_6387_B                                                                                       	938	957	837	973	3705	3860	96.0%	155	4.0%	
C_uta_6848_A                                                                                        	949	970	0	960	2879	3860	74.6%	981	25.4%	
C_uta_6848_B                                                                                        	937	986	0	0	1923	3860	49.8%	1937	50.2%	
G_app_7800_A                                                                                        	949	1015	814	965	3743	3860	97.0%	117	3.0%	
G_con_6979_A                                                                                        	951	1015	818	875	3659	3860	94.8%	201	5.2%	
G_con_6979_B                                                                                        	949	1015	817	911	3692	3860	95.6%	168	4.4%	
G_dis_7751_A                                                                                        	964	1015	837	964	3780	3860	97.9%	80	2.1%	
G_dis_7751a_A                                                                                       	0	1015	836	0	1851	3860	48.0%	2009	52.0%	
G_dry_7981_A                                                                                        	964	1015	814	963	3756	3860	97.3%	104	2.7%	
G_dry_7981_B                                                                                        	949	1015	837	965	3766	3860	97.6%	94	2.4%	
G_dry_7981a_A                                                                                       	0	1015	0	965	1980	3860	51.3%	1880	48.7%	
G_oyaA_6399_A                                                                                       	933	1005	818	966	3722	3860	96.4%	138	3.6%	
G_oyaA_6399a_A                                                                                      	0	0	818	966	1784	3860	46.2%	2076	53.8%	
G_oyaC_8739_A                                                                                       	954	1016	819	958	3747	3860	97.1%	113	2.9%	
G_oyaC_8739_B                                                                                       	954	1016	819	952	3741	3860	96.9%	119	3.1%	
G_rem_4862_A                                                                                        	960	1016	816	940	3732	3860	96.7%	128	3.3%	
G_rem_4862_B                                                                                        	951	1015	818	964	3748	3860	97.1%	112	2.9%	
G_rob_7945_A                                                                                        	798	1015	818	946	3577	3860	92.7%	283	7.3%	
G_rob_7945_B                                                                                        	951	1014	818	940	3723	3860	96.5%	137	3.5%	
xCystC_7974_A                                                                                       	920	960	829	902	3611	3860	93.5%	249	6.5%	
xCystC_7974_B                                                                                       	945	940	830	967	3682	3860	95.4%	178	4.6%	
xCystG_7974_A                                                                                       	949	1015	814	963	3741	3860	96.9%	119	3.1%	
xCystG_7974_B                                                                                       	965	1015	836	965	3781	3860	98.0%	79	2.0%	
logngest-ungaped-sequence	979	1016	837	1028	3860
alignment-length	1006	1068	862	1132	4068
