	PGI_alloPPnet_version_reduced.nex	total_ungaped_sequence_length	total_longest_ungaped_length	total_ungaped_sequence_percent	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	938	938	1028	91.2%	90	8.8%	
A_tai_6137_A                                                                                        	938	938	1028	91.2%	90	8.8%	
A_tai_6137_B                                                                                        	938	938	1028	91.2%	90	8.8%	
A_tenA_4831_A                                                                                       	941	941	1028	91.5%	87	8.5%	
A_tenB_8704_A                                                                                       	938	938	1028	91.2%	90	8.8%	
A_tenC_8745_A                                                                                       	941	941	1028	91.5%	87	8.5%	
A_tenC_8745_B                                                                                       	938	938	1028	91.2%	90	8.8%	
C_bul_7650_A                                                                                        	998	998	1028	97.1%	30	2.9%	
C_bul_7650a_A                                                                                       	1003	1003	1028	97.6%	25	2.4%	
C_dia_6380_A                                                                                        	945	945	1028	91.9%	83	8.1%	
C_dia_6380_B                                                                                        	935	935	1028	91.0%	93	9.0%	
C_fraA_7009_A                                                                                       	935	935	1028	91.0%	93	9.0%	
C_fraA_7009_B                                                                                       	968	968	1028	94.2%	60	5.8%	
C_fraB_7248_A                                                                                       	902	902	1028	87.7%	126	12.3%	
C_fraB_7248_B                                                                                       	967	967	1028	94.1%	61	5.9%	
C_mem_6732_A                                                                                        	960	960	1028	93.4%	68	6.6%	
C_mon_7943_A                                                                                        	947	947	1028	92.1%	81	7.9%	
C_mon_7943_B                                                                                        	948	948	1028	92.2%	80	7.8%	
C_mouA_4861_A                                                                                       	1027	1027	1028	99.9%	1	0.1%	
C_pelA_6055_A                                                                                       	1027	1027	1028	99.9%	1	0.1%	
C_pelA_6055_B                                                                                       	1026	1026	1028	99.8%	2	0.2%	
C_pro_6359_A                                                                                        	966	966	1028	94.0%	62	6.0%	
C_sudB_8674_A                                                                                       	1027	1027	1028	99.9%	1	0.1%	
C_sudB_8674_B                                                                                       	1028	1028	1028	100.0%	0	0.0%	
C_tas_6379_A                                                                                        	943	943	1028	91.7%	85	8.3%	
C_tas_6379_B                                                                                        	836	836	1028	81.3%	192	18.7%	
C_tenu_6387_A                                                                                       	966	966	1028	94.0%	62	6.0%	
C_tenu_6387_B                                                                                       	973	973	1028	94.6%	55	5.4%	
C_uta_6848_A                                                                                        	960	960	1028	93.4%	68	6.6%	
G_app_7800_A                                                                                        	965	965	1028	93.9%	63	6.1%	
G_con_6979_A                                                                                        	875	875	1028	85.1%	153	14.9%	
G_con_6979_B                                                                                        	911	911	1028	88.6%	117	11.4%	
G_dis_7751_A                                                                                        	964	964	1028	93.8%	64	6.2%	
G_dry_7981_A                                                                                        	963	963	1028	93.7%	65	6.3%	
G_dry_7981_B                                                                                        	965	965	1028	93.9%	63	6.1%	
G_dry_7981a_A                                                                                       	965	965	1028	93.9%	63	6.1%	
G_oyaA_6399_A                                                                                       	966	966	1028	94.0%	62	6.0%	
G_oyaA_6399a_A                                                                                      	966	966	1028	94.0%	62	6.0%	
G_oyaC_8739_A                                                                                       	958	958	1028	93.2%	70	6.8%	
G_oyaC_8739_B                                                                                       	952	952	1028	92.6%	76	7.4%	
G_rem_4862_A                                                                                        	940	940	1028	91.4%	88	8.6%	
G_rem_4862_B                                                                                        	964	964	1028	93.8%	64	6.2%	
G_rob_7945_A                                                                                        	946	946	1028	92.0%	82	8.0%	
G_rob_7945_B                                                                                        	940	940	1028	91.4%	88	8.6%	
xCystC_7974_A                                                                                       	902	902	1028	87.7%	126	12.3%	
xCystC_7974_B                                                                                       	967	967	1028	94.1%	61	5.9%	
xCystG_7974_A                                                                                       	963	963	1028	93.7%	65	6.3%	
xCystG_7974_B                                                                                       	965	965	1028	93.9%	63	6.1%	
logngest-ungaped-sequence	1028	1028
alignment-length	1132	1132
