	PGI_alloPPnet_version_reduced.nex	total_length	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	194	1132	194	17.1%	
A_tai_6137_A                                                                                        	194	1132	194	17.1%	
A_tai_6137_B                                                                                        	194	1132	194	17.1%	
A_tenA_4831_A                                                                                       	191	1132	191	16.9%	
A_tenB_8704_A                                                                                       	194	1132	194	17.1%	
A_tenC_8745_A                                                                                       	191	1132	191	16.9%	
A_tenC_8745_B                                                                                       	194	1132	194	17.1%	
C_bul_7650_A                                                                                        	134	1132	134	11.8%	
C_bul_7650a_A                                                                                       	129	1132	129	11.4%	
C_dia_6380_A                                                                                        	187	1132	187	16.5%	
C_dia_6380_B                                                                                        	197	1132	197	17.4%	
C_fraA_7009_A                                                                                       	197	1132	197	17.4%	
C_fraA_7009_B                                                                                       	164	1132	164	14.5%	
C_fraB_7248_A                                                                                       	230	1132	230	20.3%	
C_fraB_7248_B                                                                                       	165	1132	165	14.6%	
C_mem_6732_A                                                                                        	172	1132	172	15.2%	
C_mon_7943_A                                                                                        	185	1132	185	16.3%	
C_mon_7943_B                                                                                        	184	1132	184	16.3%	
C_mouA_4861_A                                                                                       	105	1132	105	9.3%	
C_pelA_6055_A                                                                                       	105	1132	105	9.3%	
C_pelA_6055_B                                                                                       	106	1132	106	9.4%	
C_pro_6359_A                                                                                        	166	1132	166	14.7%	
C_sudB_8674_A                                                                                       	105	1132	105	9.3%	
C_sudB_8674_B                                                                                       	104	1132	104	9.2%	
C_tas_6379_A                                                                                        	189	1132	189	16.7%	
C_tas_6379_B                                                                                        	296	1132	296	26.1%	
C_tenu_6387_A                                                                                       	166	1132	166	14.7%	
C_tenu_6387_B                                                                                       	159	1132	159	14.0%	
C_uta_6848_A                                                                                        	172	1132	172	15.2%	
G_app_7800_A                                                                                        	167	1132	167	14.8%	
G_con_6979_A                                                                                        	257	1132	257	22.7%	
G_con_6979_B                                                                                        	221	1132	221	19.5%	
G_dis_7751_A                                                                                        	168	1132	168	14.8%	
G_dry_7981_A                                                                                        	169	1132	169	14.9%	
G_dry_7981_B                                                                                        	167	1132	167	14.8%	
G_dry_7981a_A                                                                                       	167	1132	167	14.8%	
G_oyaA_6399_A                                                                                       	166	1132	166	14.7%	
G_oyaA_6399a_A                                                                                      	166	1132	166	14.7%	
G_oyaC_8739_A                                                                                       	174	1132	174	15.4%	
G_oyaC_8739_B                                                                                       	180	1132	180	15.9%	
G_rem_4862_A                                                                                        	192	1132	192	17.0%	
G_rem_4862_B                                                                                        	168	1132	168	14.8%	
G_rob_7945_A                                                                                        	186	1132	186	16.4%	
G_rob_7945_B                                                                                        	192	1132	192	17.0%	
xCystC_7974_A                                                                                       	230	1132	230	20.3%	
xCystC_7974_B                                                                                       	165	1132	165	14.6%	
xCystG_7974_A                                                                                       	169	1132	169	14.9%	
xCystG_7974_B                                                                                       	167	1132	167	14.8%	
alignment-length	1132	1132
