	APP_alloPPnet_version_reduced.nex	total_ungaped_sequence_length	total_longest_ungaped_length	total_ungaped_sequence_percent	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	946	946	979	96.6%	33	3.4%	
A_tai_6137_A                                                                                        	946	946	979	96.6%	33	3.4%	
A_tai_6137_B                                                                                        	947	947	979	96.7%	32	3.3%	
A_tenA_4831_A                                                                                       	899	899	979	91.8%	80	8.2%	
A_tenC_8745_A                                                                                       	942	942	979	96.2%	37	3.8%	
A_tenC_8745_B                                                                                       	947	947	979	96.7%	32	3.3%	
C_bul_7650_A                                                                                        	949	949	979	96.9%	30	3.1%	
C_fraA_7009_A                                                                                       	921	921	979	94.1%	58	5.9%	
C_fraA_7009_B                                                                                       	947	947	979	96.7%	32	3.3%	
C_fraB_7248_A                                                                                       	921	921	979	94.1%	58	5.9%	
C_fraB_7248_B                                                                                       	945	945	979	96.5%	34	3.5%	
C_mem_6732_A                                                                                        	946	946	979	96.6%	33	3.4%	
C_mon_7943_A                                                                                        	946	946	979	96.6%	33	3.4%	
C_mon_7943_B                                                                                        	900	900	979	91.9%	79	8.1%	
C_mouA_4861_A                                                                                       	947	947	979	96.7%	32	3.3%	
C_pelA_6055_A                                                                                       	979	979	979	100.0%	0	0.0%	
C_pelA_6055_B                                                                                       	979	979	979	100.0%	0	0.0%	
C_pro_6359_A                                                                                        	938	938	979	95.8%	41	4.2%	
C_pro_6359a_A                                                                                       	937	937	979	95.7%	42	4.3%	
C_sudB_8674_A                                                                                       	948	948	979	96.8%	31	3.2%	
C_sudB_8674_B                                                                                       	946	946	979	96.6%	33	3.4%	
C_tas_6379_A                                                                                        	944	944	979	96.4%	35	3.6%	
C_tas_6379_B                                                                                        	847	847	979	86.5%	132	13.5%	
C_tenu_6387_A                                                                                       	947	947	979	96.7%	32	3.3%	
C_tenu_6387_B                                                                                       	938	938	979	95.8%	41	4.2%	
C_uta_6848_A                                                                                        	949	949	979	96.9%	30	3.1%	
C_uta_6848_B                                                                                        	937	937	979	95.7%	42	4.3%	
G_app_7800_A                                                                                        	949	949	979	96.9%	30	3.1%	
G_con_6979_A                                                                                        	951	951	979	97.1%	28	2.9%	
G_con_6979_B                                                                                        	949	949	979	96.9%	30	3.1%	
G_dis_7751_A                                                                                        	964	964	979	98.5%	15	1.5%	
G_dry_7981_A                                                                                        	964	964	979	98.5%	15	1.5%	
G_dry_7981_B                                                                                        	949	949	979	96.9%	30	3.1%	
G_oyaA_6399_A                                                                                       	933	933	979	95.3%	46	4.7%	
G_oyaC_8739_A                                                                                       	954	954	979	97.4%	25	2.6%	
G_oyaC_8739_B                                                                                       	954	954	979	97.4%	25	2.6%	
G_rem_4862_A                                                                                        	960	960	979	98.1%	19	1.9%	
G_rem_4862_B                                                                                        	951	951	979	97.1%	28	2.9%	
G_rob_7945_A                                                                                        	798	798	979	81.5%	181	18.5%	
G_rob_7945_B                                                                                        	951	951	979	97.1%	28	2.9%	
xCystC_7974_A                                                                                       	920	920	979	94.0%	59	6.0%	
xCystC_7974_B                                                                                       	945	945	979	96.5%	34	3.5%	
xCystG_7974_A                                                                                       	949	949	979	96.9%	30	3.1%	
xCystG_7974_B                                                                                       	965	965	979	98.6%	14	1.4%	
logngest-ungaped-sequence	979	979
alignment-length	1006	1006
