	GAP_alloPPnet_version_reduced.nex	total_length	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	104	1068	104	9.7%	
A_tai_6137_A                                                                                        	94	1068	94	8.8%	
A_tai_6137_B                                                                                        	94	1068	94	8.8%	
A_tenA_4831_A                                                                                       	107	1068	107	10.0%	
A_tenB_8704_A                                                                                       	104	1068	104	9.7%	
A_tenB_8704_B                                                                                       	91	1068	91	8.5%	
A_tenC_8745_A                                                                                       	107	1068	107	10.0%	
A_tenC_8745_B                                                                                       	94	1068	94	8.8%	
C_dia_6380_A                                                                                        	97	1068	97	9.1%	
C_dia_6380_B                                                                                        	96	1068	96	9.0%	
C_fraA_7009_A                                                                                       	128	1068	128	12.0%	
C_fraB_7248_A                                                                                       	108	1068	108	10.1%	
C_fraB_7248_B                                                                                       	128	1068	128	12.0%	
C_mem_6732_A                                                                                        	98	1068	98	9.2%	
C_mon_7943_A                                                                                        	70	1068	70	6.6%	
C_mon_7943_B                                                                                        	70	1068	70	6.6%	
C_mouA_4861_A                                                                                       	72	1068	72	6.7%	
C_pelA_6055_A                                                                                       	74	1068	74	6.9%	
C_pelA_6055_B                                                                                       	74	1068	74	6.9%	
C_pro_6359_A                                                                                        	111	1068	111	10.4%	
C_pro_6359a_A                                                                                       	111	1068	111	10.4%	
C_sudB_8674_A                                                                                       	74	1068	74	6.9%	
C_sudB_8674_B                                                                                       	82	1068	82	7.7%	
C_tas_6379_A                                                                                        	107	1068	107	10.0%	
C_tas_6379_B                                                                                        	106	1068	106	9.9%	
C_tenu_6387_A                                                                                       	128	1068	128	12.0%	
C_tenu_6387_B                                                                                       	111	1068	111	10.4%	
C_uta_6848_A                                                                                        	98	1068	98	9.2%	
C_uta_6848_B                                                                                        	82	1068	82	7.7%	
G_app_7800_A                                                                                        	53	1068	53	5.0%	
G_con_6979_A                                                                                        	53	1068	53	5.0%	
G_con_6979_B                                                                                        	53	1068	53	5.0%	
G_dis_7751_A                                                                                        	53	1068	53	5.0%	
G_dis_7751a_A                                                                                       	53	1068	53	5.0%	
G_dry_7981_A                                                                                        	53	1068	53	5.0%	
G_dry_7981_B                                                                                        	53	1068	53	5.0%	
G_dry_7981a_A                                                                                       	53	1068	53	5.0%	
G_oyaA_6399_A                                                                                       	63	1068	63	5.9%	
G_oyaC_8739_A                                                                                       	52	1068	52	4.9%	
G_oyaC_8739_B                                                                                       	52	1068	52	4.9%	
G_rem_4862_A                                                                                        	52	1068	52	4.9%	
G_rem_4862_B                                                                                        	53	1068	53	5.0%	
G_rob_7945_A                                                                                        	53	1068	53	5.0%	
G_rob_7945_B                                                                                        	54	1068	54	5.1%	
xCystC_7974_A                                                                                       	108	1068	108	10.1%	
xCystC_7974_B                                                                                       	128	1068	128	12.0%	
xCystG_7974_A                                                                                       	53	1068	53	5.0%	
xCystG_7974_B                                                                                       	53	1068	53	5.0%	
alignment-length	1068	1068
