	IBR_alloPPnet_version_reduced.nex	total_ungaped_sequence_length	total_longest_ungaped_length	total_ungaped_sequence_percent	total_missing	total_missing_percent	
A_jap_7978_A                                                                                        	831	831	837	99.3%	6	0.7%	
A_tai_6137_A                                                                                        	828	828	837	98.9%	9	1.1%	
A_tai_6137_B                                                                                        	831	831	837	99.3%	6	0.7%	
A_tenA_4831_A                                                                                       	819	819	837	97.8%	18	2.2%	
A_tenB_8704_A                                                                                       	830	830	837	99.2%	7	0.8%	
A_tenB_8704_B                                                                                       	819	819	837	97.8%	18	2.2%	
A_tenC_8745_A                                                                                       	829	829	837	99.0%	8	1.0%	
A_tenC_8745_B                                                                                       	830	830	837	99.2%	7	0.8%	
C_bul_7650_A                                                                                        	827	827	837	98.8%	10	1.2%	
C_bul_7650a_A                                                                                       	831	831	837	99.3%	6	0.7%	
C_fraA_7009_A                                                                                       	828	828	837	98.9%	9	1.1%	
C_fraA_7009_B                                                                                       	829	829	837	99.0%	8	1.0%	
C_fraB_7248_A                                                                                       	829	829	837	99.0%	8	1.0%	
C_fraB_7248_B                                                                                       	830	830	837	99.2%	7	0.8%	
C_mem_6732_A                                                                                        	825	825	837	98.6%	12	1.4%	
C_mon_7943_A                                                                                        	816	816	837	97.5%	21	2.5%	
C_mon_7943_B                                                                                        	816	816	837	97.5%	21	2.5%	
C_mouA_4861_A                                                                                       	828	828	837	98.9%	9	1.1%	
C_pelA_6055_A                                                                                       	830	830	837	99.2%	7	0.8%	
C_pelA_6055_B                                                                                       	829	829	837	99.0%	8	1.0%	
C_pro_6359_A                                                                                        	835	835	837	99.8%	2	0.2%	
C_sudB_8674_A                                                                                       	829	829	837	99.0%	8	1.0%	
C_sudB_8674_B                                                                                       	829	829	837	99.0%	8	1.0%	
C_tas_6379_A                                                                                        	827	827	837	98.8%	10	1.2%	
C_tenu_6387_A                                                                                       	829	829	837	99.0%	8	1.0%	
C_tenu_6387_B                                                                                       	837	837	837	100.0%	0	0.0%	
G_app_7800_A                                                                                        	814	814	837	97.3%	23	2.7%	
G_con_6979_A                                                                                        	818	818	837	97.7%	19	2.3%	
G_con_6979_B                                                                                        	817	817	837	97.6%	20	2.4%	
G_dis_7751_A                                                                                        	837	837	837	100.0%	0	0.0%	
G_dis_7751a_A                                                                                       	836	836	837	99.9%	1	0.1%	
G_dry_7981_A                                                                                        	814	814	837	97.3%	23	2.7%	
G_dry_7981_B                                                                                        	837	837	837	100.0%	0	0.0%	
G_oyaA_6399_A                                                                                       	818	818	837	97.7%	19	2.3%	
G_oyaA_6399a_A                                                                                      	818	818	837	97.7%	19	2.3%	
G_oyaC_8739_A                                                                                       	819	819	837	97.8%	18	2.2%	
G_oyaC_8739_B                                                                                       	819	819	837	97.8%	18	2.2%	
G_rem_4862_A                                                                                        	816	816	837	97.5%	21	2.5%	
G_rem_4862_B                                                                                        	818	818	837	97.7%	19	2.3%	
G_rob_7945_A                                                                                        	818	818	837	97.7%	19	2.3%	
G_rob_7945_B                                                                                        	818	818	837	97.7%	19	2.3%	
xCystC_7974_A                                                                                       	829	829	837	99.0%	8	1.0%	
xCystC_7974_B                                                                                       	830	830	837	99.2%	7	0.8%	
xCystG_7974_A                                                                                       	814	814	837	97.3%	23	2.7%	
xCystG_7974_B                                                                                       	836	836	837	99.9%	1	0.1%	
logngest-ungaped-sequence	837	837
alignment-length	862	862
